id	docid	answer
0ce5c44a54d63a5b9b7c9657d1919fc7	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0e72999704f430d8aa5f1233d71bf0cb	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0f17f97f38fb3174ab58acda1f1c3ff7	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
c0c35634fdb83a40884fadebb0e82ff7	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0caca9df37d5388f97ef351eb98cc58a	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
bd0e4148938333729e152ed01bf2640f	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0d335cafbf3a33dc924f17bfd2cb6383	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
e0f54daebfb73bb690f3f0274b8fc843	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
f0c4109f95af38929cf38cf4411eac1a	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0f9250b1ff9f32a28189ffdfc62a2dc9	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0d6e16a184213fa68c6790e5dd0f9813	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
e0b69a64858733da86412649339d958f	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0e96ea5396e7377389a88f6233ea8037	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0ad2d8b939163fbfb8d73c2fa64cb714	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
ece0f74dad3933f0af1fdf19a64ac023	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0f5d9ade51123aecba1aaab3d92bad5d	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0d3d1f021b0731dab01805c73a3866b2	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
d0e18aba42453538995aeed8ba11bcb0	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
c0af116827c537428b976cd529dcfd92	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
ba0c4dc88ed43ef5a6f9303fd5d17a78	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0b9fedc8da9d3aed8da3aa6894a5d4fd	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0ff281d0409c30c1b6744b2eb5cf4723	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
d0f4a969eaec340a819035cb21f8dc11	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
ae0c442fb44c3cfbb61386b3a429e43d	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0c315f7a1ea2357fa677196d9a6e9743	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
0f2b4ceb316a336996a8544ba031bc68	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
c0ae20ab25193b5d8dd3d53cbe2c85a2	327e5da5c8eb357383f1cd86558a04a4	拨打12348法律咨询电话
